"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	12352.0060901434	8841.08786457313	3510.91822557027	0
"1q"	12352.0060901434	12355.8984860989	-3.8923959554686	0.001075
"2p"	12352.0060901434	12348.8362310739	3.16985906950868	3.1e-05
"2q"	12352.0060901434	12373.8805144831	-21.874424339745	1
"3p"	12352.0060901434	12372.4911347637	-20.4850446203091	1
"3q"	12352.0060901434	12372.2431212798	-20.2370311364411	1
"4p"	12352.0060901434	11545.3391964439	806.666893699487	0
"4q"	12352.0060901434	11194.7139647906	1157.29212535276	0
"5p"	12352.0060901434	12363.9984673883	-11.9923772448838	0.061699
"5q"	12352.0060901434	12364.2440976894	-12.2380075459769	0.069762
"6p"	12352.0060901434	12287.5644019371	64.4416882063106	0
"6q"	12352.0060901434	12355.6700196708	-3.66392952738533	0.000959
"7p"	12352.0060901434	11534.2911629214	817.714927222016	0
"7q"	12352.0060901434	11168.6634254596	1183.34266468377	0
"8p"	12352.0060901434	12369.0770510083	-17.0709608649413	0.781772
"8q"	12352.0060901434	12364.6710492166	-12.6649590732268	0.086363
"9p"	12352.0060901434	12255.6065402148	96.3995499285775	0
"9q"	12352.0060901434	12270.612844271	81.3932458723739	0
"10p"	12352.0060901434	12290.6821000365	61.3239901069501	0
"10q"	12352.0060901434	12365.5475084562	-13.5414183128178	0.13386
"11p"	12352.0060901434	12024.0548090434	327.951281099986	0
"11q"	12352.0060901434	11740.9220637774	611.084026366001	0
"12p"	12352.0060901434	11251.4055026379	1100.60058750554	0
"12q"	12352.0060901434	9031.59990680146	3320.40618334194	0
"13q"	12352.0060901434	11372.1911165688	979.814973574596	0
"14q"	12352.0060901434	12245.2538807685	106.752209374912	0
"15q"	12352.0060901434	12339.1633320769	12.8427580664884	0
"16p"	12352.0060901434	12354.9870402352	-2.98095009180543	0.000682
"16q"	12352.0060901434	12362.372080072	-10.3659899285885	0.02736
"17p"	12352.0060901434	12369.6512726667	-17.6451825233198	1
"17q"	12352.0060901434	12340.3555988149	11.650491328508	0
"18q"	12352.0060901434	12351.8759589891	0.130131154288392	0.000144
"19p"	12352.0060901434	12342.466727214	9.53936292944127	1e-06
"19q"	12352.0060901434	10630.962102947	1721.04398719639	0
"20p"	12352.0060901434	12369.4396637064	-17.433573563012	0.937175
"20q"	12352.0060901434	12360.7523001525	-8.74621000907428	0.012173
"21q"	12352.0060901434	12362.6555782528	-10.649488109395	0.031526
"22q"	12352.0060901434	12254.03316179	97.972928353387	0
